"Country or Area","Year","Value","Value Footnotes","Unit"
"Cameroon","2009","1148.19995117188","","tonnes"
"Cameroon","2008","355","","tonnes"
"Cameroon","2007","299.799987792969","","tonnes"
"Cameroon","2006","311.100006103516","","tonnes"
"Cameroon","2005","369.5","","tonnes"
"Cameroon","2004","202.199996948242","","tonnes"

