osm_id,code,fclass,name,lat,Long
"7156799196","2511",convenience,,3.8715353,11.5402742
"7156799197","2511",convenience,,3.8709749,11.5407796
"7156799198","2511",convenience,,3.8714464,11.5402809
"7156799199","2511",convenience,,3.8695166,11.5371314
"7156799200","2511",convenience,,3.8706775,11.5409403
"7156799205","2511",convenience,,3.8710704,11.5397837
"7156799206","2511",convenience,,3.8701631,11.5386075
"7156810994","2511",convenience,,3.8743214,11.5373408
"7156811000","2511",convenience,,3.8758140,11.5331670
"7156811004","2511",convenience,,3.8740439,11.5353795
"7156811005","2511",convenience,,3.8756713,11.5362214
"7156811006","2511",convenience,,3.8741826,11.5347745
"7156811007","2511",convenience,,3.8744783,11.5355250
"7156811008","2511",convenience,,3.8747548,11.5366282
"7156811009","2511",convenience,,3.8763950,11.5364789
"7156811010","2511",convenience,,3.8741596,11.5336297
"7156811011","2511",convenience,,3.8739057,11.5332694
"7156811012","2511",convenience,,3.8757109,11.5357431
"7156811013","2511",convenience,,3.8754430,11.5373668
"7156811014","2511",convenience,,3.8749741,11.5376407
"7156811015","2511",convenience,,3.8755440,11.5370510
"7156811016","2511",convenience,,3.8753427,11.5375892
"7156811017","2511",convenience,,3.8755967,11.5368195
"7156811018","2511",convenience,,3.8756785,11.5379852
"7156821805","2511",convenience,Grappe D'or,3.8764394,11.5315731
"7156821806","2511",convenience,,3.8776360,11.5325965
"7156821807","2511",convenience,,3.8786965,11.5352692
"7156821808","2511",convenience,,3.8782975,11.5315838
"7156821809","2511",convenience,,3.8751308,11.5299571
"7156821810","2511",convenience,,3.8780735,11.5313841
"7156821811","2511",convenience,,3.8759575,11.5322287
"7156821812","2511",convenience,Boutique Et Cafétéria,3.8758407,11.5317199
"7156821813","2511",convenience,,3.8773287,11.5326315
"7156821815","2511",convenience,,3.8785133,11.5343308
"7156821816","2511",convenience,,3.8807588,11.5327602
"7156821817","2511",convenience,,3.8794813,11.5345008
"7156821819","2511",convenience,,3.8766217,11.5326858
"7156821822","2511",convenience,Canal Shopping,3.8759779,11.5309357
"7156821823","2511",convenience,,3.8797926,11.5368118
"7156821824","2511",convenience,,3.8772668,11.5333229
"7156821825","2511",convenience,,3.8779792,11.5339939
"7156821826","2511",convenience,,3.8786684,11.5340152
"7161112748","2083",kindergarten,The Divine Grace,3.8915196,11.4561680
"7161141012","2083",kindergarten,Akemegwa Bilingual School,3.8905825,11.4584333
"7161163472","2083",kindergarten,École Damelie,3.8847721,11.4622767
