"Country or Area","Year","Value","Value Footnotes","Unit"
"Cameroon","2009","8716.599609375","","tonnes"
"Cameroon","2008","9383.2998046875","","tonnes"
"Cameroon","2007","8296.099609375","","tonnes"
"Cameroon","2006","10343.900390625","","tonnes"
"Cameroon","2005","9429.7998046875","","tonnes"
"Cameroon","2004","5715.5","","tonnes"

