"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Cameroon","Electricity - total net installed capacity of electric power plants, hydro","1990","Kilowatts,  thousand","530","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2019","Kilowatts,  thousand","732.2",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2018","Kilowatts,  thousand","732.2",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2017","Kilowatts,  thousand","777.2",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2016","Kilowatts,  thousand","732.2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2015","Kilowatts,  thousand","732.2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2014","Kilowatts,  thousand","732.2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2013","Kilowatts,  thousand","732.2",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2012","Kilowatts,  thousand","728.2",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2011","Kilowatts,  thousand","728.2",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2010","Kilowatts,  thousand","723",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2009","Kilowatts,  thousand","719",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2008","Kilowatts,  thousand","719",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2007","Kilowatts,  thousand","719",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2006","Kilowatts,  thousand","719",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2005","Kilowatts,  thousand","719",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2004","Kilowatts,  thousand","805","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2003","Kilowatts,  thousand","805",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2002","Kilowatts,  thousand","805",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2001","Kilowatts,  thousand","800",""
