"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2018","2.87",""
"Cameroon","2016","1.983471",""
"Cameroon","2014","2.195748",""
"Cameroon","2012","2.37",""
"Cameroon","2010","2.69",""
"Cameroon","2007","2.33",""

