"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2018","2.57",""
"Cameroon","2016","2.286961",""
"Cameroon","2014","2.795748",""
"Cameroon","2012","3.19",""
"Cameroon","2010","3.16",""
"Cameroon","2007","3.29",""

