"Country or Area","Year","Value","Value Footnotes","Unit"
"Cameroon","2009","7249.1767578125","","1000 tonnes"
"Cameroon","2008","6489.0791015625","","1000 tonnes"
"Cameroon","2007","3707.74096679688","","1000 tonnes"
"Cameroon","2006","3688.73291015625","","1000 tonnes"

