"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2018","2.47",""
"Cameroon","2016","2.036961",""
"Cameroon","2014","2.520408",""
"Cameroon","2012","2.55",""
"Cameroon","2010","2.6",""
"Cameroon","2007","2.5",""

