"Country or Area","Year","Value","Value Footnotes"
"Cameroon","2018","1369420000",""
"Cameroon","2010","342000000",""
"Cameroon","2009","126000000",""
"Cameroon","2006","440000000",""
"Cameroon","2002","21500000",""
"Cameroon","2001","70300000",""

