"Country or Area","Year","Value","Value Footnotes","Unit"
"Cameroon","2009","7133","","tonnes"
"Cameroon","2008","8663","","tonnes"
"Cameroon","2007","7492","","tonnes"
"Cameroon","2006","9675","","tonnes"
"Cameroon","2005","9046","","tonnes"
"Cameroon","2004","5307","","tonnes"

